2014-03-05 14:42:23 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:42:23 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:42:23 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:42:24 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:42:31 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:42:31 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:42:31 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:42:32 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:43:39 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:43:39 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:43:39 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:43:40 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:44:33 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:44:33 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:44:33 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:44:33 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:44:50 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:44:50 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:44:50 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:44:51 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:45:32 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:45:32 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:45:32 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:45:32 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:47:01 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:47:01 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:47:01 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
2014-03-05 14:47:01 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 68]
